# Метеостанция Шереметьево / им. А. С. Пушкина (аэропорт), Россия, METAR=UUEE, выборка с 01.01.2023 по 31.01.2023, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUEE&lang=ru
#
"Местное время в Шереметьево / им. А. С. Пушкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.01.2023 23:30";"0.0";"732.8";"750.1";"93";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"Ливень (ливни), снег";"Рассеянная (40-50%) 330 м, разорванная (60-90%) 570 м, кучево-дождевые облака";"8.0";"-1.0";
"31.01.2023 23:00";"0.0";"732.8";"750.1";"87";"Ветер, дующий с юго-юго-запада";"5";"";"Ливень (ливни), снег";"";"Рассеянная (40-50%) 330 м, разорванная (60-90%) 540 м, кучево-дождевые облака";"7.0";"-2.0";
"31.01.2023 22:30";"0.0";"732.8";"750.1";"87";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) дождь, снег";"";"Рассеянная (40-50%) 360 м";"10.0 и более";"-2.0";
"31.01.2023 22:00";"0.0";"732.8";"750.1";"87";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) дождь, снег";"";"Рассеянная (40-50%) 360 м";"9.0";"-2.0";
"31.01.2023 21:30";"0.0";"732.8";"750.1";"87";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) дождь, снег";"Замерзающий(ая) (переохлажденный(ая)) дождь";"Рассеянная (40-50%) 390 м";"10.0 и более";"-2.0";
"31.01.2023 21:00";"0.0";"732.8";"750.1";"87";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) дождь, снег";"";"Рассеянная (40-50%) 270 м";"4.5";"-2.0";
"31.01.2023 20:30";"0.0";"732.8";"750.1";"87";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) дождь, снег";"Замерзающий(ая) (переохлажденный(ая)) дождь";"Рассеянная (40-50%) 300 м";"7.0";"-2.0";
"31.01.2023 20:00";"0.0";"732.0";"749.3";"87";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) дождь";"";"Рассеянная (40-50%) 330 м";"8.0";"-2.0";
"31.01.2023 19:30";"0.0";"732.0";"749.3";"87";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-2.0";
"31.01.2023 19:00";"0.0";"732.0";"749.3";"87";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) морось";"";"Сплошная (100%) 390 м";"10.0 и более";"-2.0";
"31.01.2023 18:30";"0.0";"732.0";"749.3";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-3.0";
"31.01.2023 18:00";"0.0";"732.0";"749.3";"80";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 450 м";"9.0";"-3.0";
"31.01.2023 17:30";"0.0";"732.0";"749.3";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-3.0";
"31.01.2023 17:00";"0.0";"732.0";"749.3";"80";"Ветер, дующий с юга";"7";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-3.0";
"31.01.2023 16:30";"0.0";"731.2";"748.5";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-3.0";
"31.01.2023 16:00";"0.0";"731.2";"748.5";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-3.0";
"31.01.2023 15:30";"0.0";"731.2";"748.5";"80";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-3.0";
"31.01.2023 15:00";"0.0";"731.2";"748.5";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-3.0";
"31.01.2023 14:30";"0.0";"731.2";"748.5";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-3.0";
"31.01.2023 14:00";"0.0";"731.2";"748.5";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-3.0";
"31.01.2023 13:30";"0.0";"730.5";"747.8";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-3.0";
"31.01.2023 13:00";"0.0";"730.5";"747.8";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"-3.0";
"31.01.2023 12:30";"-1.0";"730.5";"747.8";"86";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Разорванная (60-90%) 390 м, сплошная (100%) 1440 м";"10.0 и более";"-3.0";
"31.01.2023 12:00";"-1.0";"730.5";"747.8";"86";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-3.0";
"31.01.2023 11:30";"-1.0";"730.5";"747.8";"86";"Ветер, дующий с юго-запада";"6";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-3.0";
"31.01.2023 11:00";"-1.0";"730.5";"747.8";"86";"Ветер, дующий с юго-запада";"6";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-3.0";
"31.01.2023 10:30";"-1.0";"730.5";"747.8";"86";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-3.0";
"31.01.2023 10:00";"-1.0";"730.5";"747.8";"86";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-3.0";
"31.01.2023 09:30";"-1.0";"729.7";"747.0";"86";"Ветер, дующий с юго-запада";"6";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-3.0";
"31.01.2023 09:00";"-1.0";"729.7";"747.0";"86";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-3.0";
"31.01.2023 08:30";"-2.0";"729.6";"747.0";"93";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-3.0";
"31.01.2023 08:00";"-1.0";"729.0";"746.3";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"9.0";"-3.0";
